Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Blagoevgrad,2020,10,4,9.0,6.0,5.0,5.0,3.0,5.6,2.0,1.96,1.8,3.8,7.3999999999999995,-1.6,1.8,-28.6,17.3,5.6 (±1.8),-1.6 (±1.8),-28.6% (±17.3%)
Female,Blagoevgrad,2020,11,7,1.0,3.0,2.0,4.0,5.0,3.0,1.4,1.96,1.2,1.8,4.2,4.0,1.2,133.3,66.6,3.0 (±1.2),4.0 (±1.2),133.3% (±66.6%)
Female,Blagoevgrad,2020,12,5,8.0,1.0,3.0,8.0,7.0,5.4,2.9,1.96,2.5,2.9000000000000004,7.9,-0.4,2.5,-7.4,29.3,5.4 (±2.5),-0.4 (±2.5),-7.4% (±29.3%)
Female,Blagoevgrad,2020,13,6,3.0,2.0,4.0,3.0,5.0,3.4,1.0,1.96,0.9,2.5,4.3,2.6,0.9,76.5,37.0,3.4 (±0.9),2.6 (±0.9),76.5% (±37.0%)
Female,Blagoevgrad,2020,14,6,5.0,4.0,4.0,5.0,4.0,4.4,0.5,1.96,0.4,4.0,4.800000000000001,1.6,0.4,36.4,11.4,4.4 (±0.4),1.6 (±0.4),36.4% (±11.4%)
Female,Blagoevgrad,2020,15,9,4.0,3.0,5.0,7.0,2.0,4.2,1.7,1.96,1.5,2.7,5.7,4.8,1.5,114.3,56.4,4.2 (±1.5),4.8 (±1.5),114.3% (±56.4%)
Female,Blagoevgrad,2020,16,6,10.0,5.0,7.0,8.0,6.0,7.2,1.7,1.96,1.5,5.7,8.7,-1.2,1.5,-16.7,14.3,7.2 (±1.5),-1.2 (±1.5),-16.7% (±14.3%)
Female,Blagoevgrad,2020,17,7,8.0,2.0,8.0,3.0,6.0,5.4,2.5,1.96,2.2,3.2,7.6000000000000005,1.6,2.2,29.6,37.5,5.4 (±2.2),1.6 (±2.2),29.6% (±37.5%)
Female,Blagoevgrad,2020,18,5,5.0,5.0,5.0,4.0,3.0,4.4,0.8,1.96,0.7,3.7,5.1000000000000005,0.6,0.7,13.6,15.6,4.4 (±0.7),0.6 (±0.7),13.6% (±15.6%)
Female,Blagoevgrad,2020,19,3,1.0,5.0,5.0,1.0,7.0,3.8,2.4,1.96,2.1,1.6999999999999997,5.9,-0.8,2.1,-21.1,28.1,3.8 (±2.1),-0.8 (±2.1),-21.1% (±28.1%)
Female,Blagoevgrad,2020,20,3,5.0,4.0,3.0,4.0,3.0,3.8,0.7,1.96,0.6,3.1999999999999997,4.3999999999999995,-0.8,0.6,-21.1,10.7,3.8 (±0.6),-0.8 (±0.6),-21.1% (±10.7%)
Female,Blagoevgrad,2020,21,5,8.0,6.0,3.0,6.0,7.0,6.0,1.7,1.96,1.5,4.5,7.5,-1.0,1.5,-16.7,16.6,6.0 (±1.5),-1.0 (±1.5),-16.7% (±16.6%)
Female,Blagoevgrad,2020,22,1,6.0,4.0,5.0,1.0,5.0,4.2,1.7,1.96,1.5,2.7,5.7,-3.2,1.5,-76.2,6.3,4.2 (±1.5),-3.2 (±1.5),-76.2% (±6.3%)
Female,Blagoevgrad,2020,23,6,4.0,3.0,7.0,8.0,9.0,6.2,2.3,1.96,2.0,4.2,8.2,-0.2,2.0,-3.2,23.6,6.2 (±2.0),-0.2 (±2.0),-3.2% (±23.6%)
Female,Blagoevgrad,2020,24,8,1.0,3.0,4.0,4.0,4.0,3.2,1.2,1.96,1.1,2.1,4.300000000000001,4.8,1.1,150.0,64.0,3.2 (±1.1),4.8 (±1.1),150.0% (±64.0%)
Female,Blagoevgrad,2020,25,3,3.0,2.0,7.0,2.0,4.0,3.6,1.9,1.96,1.7,1.9000000000000001,5.3,-0.6,1.7,-16.7,26.7,3.6 (±1.7),-0.6 (±1.7),-16.7% (±26.7%)
Female,Blagoevgrad,2020,26,5,5.0,1.0,5.0,7.0,1.0,3.8,2.4,1.96,2.1,1.6999999999999997,5.9,1.2,2.1,31.6,46.9,3.8 (±2.1),1.2 (±2.1),31.6% (±46.9%)
Female,Blagoevgrad,2020,27,6,3.0,2.0,5.0,6.0,1.0,3.4,1.9,1.96,1.7,1.7,5.1,2.6,1.7,76.5,58.9,3.4 (±1.7),2.6 (±1.7),76.5% (±58.9%)
Female,Blagoevgrad,2020,28,4,6.0,6.0,4.0,4.0,2.0,4.4,1.5,1.96,1.3,3.1000000000000005,5.7,-0.4,1.3,-9.1,20.7,4.4 (±1.3),-0.4 (±1.3),-9.1% (±20.7%)
Female,Blagoevgrad,2020,29,2,4.0,1.0,0.0,5.0,6.0,3.2,2.3,1.96,2.0,1.2000000000000002,5.2,-1.2,2.0,-37.5,24.0,3.2 (±2.0),-1.2 (±2.0),-37.5% (±24.0%)
Female,Blagoevgrad,2020,30,5,1.0,2.0,4.0,7.0,9.0,4.6,3.0,1.96,2.6,1.9999999999999996,7.199999999999999,0.4,2.6,8.7,39.3,4.6 (±2.6),0.4 (±2.6),8.7% (±39.3%)
Female,Blagoevgrad,2020,31,8,5.0,3.0,5.0,4.0,5.0,4.4,0.8,1.96,0.7,3.7,5.1000000000000005,3.6,0.7,81.8,24.9,4.4 (±0.7),3.6 (±0.7),81.8% (±24.9%)
Female,Blagoevgrad,2020,32,4,1.0,7.0,6.0,1.0,5.0,4.0,2.5,1.96,2.2,1.7999999999999998,6.2,0.0,2.2,0.0,35.5,4.0 (±2.2),0.0 (±2.2),0.0% (±35.5%)
Female,Blagoevgrad,2020,33,5,4.0,4.0,3.0,3.0,2.0,3.2,0.7,1.96,0.6,2.6,3.8000000000000003,1.8,0.6,56.2,24.6,3.2 (±0.6),1.8 (±0.6),56.2% (±24.6%)
Female,Blagoevgrad,2020,34,2,1.0,6.0,11.0,2.0,3.0,4.6,3.6,1.96,3.2,1.3999999999999995,7.8,-2.6,3.2,-56.5,17.9,4.6 (±3.2),-2.6 (±3.2),-56.5% (±17.9%)
Female,Blagoevgrad,2020,35,6,1.0,5.0,2.0,5.0,4.0,3.4,1.6,1.96,1.4,2.0,4.8,2.6,1.4,76.5,51.5,3.4 (±1.4),2.6 (±1.4),76.5% (±51.5%)
Female,Blagoevgrad,2020,36,6,4.0,5.0,3.0,5.0,1.0,3.6,1.5,1.96,1.3,2.3,4.9,2.4,1.3,66.7,44.3,3.6 (±1.3),2.4 (±1.3),66.7% (±44.3%)
Female,Blagoevgrad,2020,37,8,4.0,2.0,6.0,2.0,3.0,3.4,1.5,1.96,1.3,2.0999999999999996,4.7,4.6,1.3,135.3,65.1,3.4 (±1.3),4.6 (±1.3),135.3% (±65.1%)
Female,Blagoevgrad,2020,38,2,4.0,3.0,3.0,5.0,1.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-1.2,1.1,-37.5,16.0,3.2 (±1.1),-1.2 (±1.1),-37.5% (±16.0%)
Female,Blagoevgrad,2020,39,6,4.0,5.0,4.0,3.0,4.0,4.0,0.6,1.96,0.5,3.5,4.5,2.0,0.5,50.0,16.7,4.0 (±0.5),2.0 (±0.5),50.0% (±16.7%)
Female,Blagoevgrad,2020,40,6,6.0,6.0,2.0,5.0,6.0,5.0,1.5,1.96,1.3,3.7,6.3,1.0,1.3,20.0,24.8,5.0 (±1.3),1.0 (±1.3),20.0% (±24.8%)
Female,Blagoevgrad,2020,41,8,4.0,1.0,1.0,4.0,2.0,2.4,1.4,1.96,1.2,1.2,3.5999999999999996,5.6,1.2,233.3,111.1,2.4 (±1.2),5.6 (±1.2),233.3% (±111.1%)
Female,Blagoevgrad,2020,42,4,3.0,7.0,4.0,5.0,4.0,4.6,1.4,1.96,1.2,3.3999999999999995,5.8,-0.6,1.2,-13.0,18.0,4.6 (±1.2),-0.6 (±1.2),-13.0% (±18.0%)
Female,Blagoevgrad,2020,43,2,8.0,5.0,5.0,1.0,3.0,4.4,2.3,1.96,2.0,2.4000000000000004,6.4,-2.4,2.0,-54.5,14.2,4.4 (±2.0),-2.4 (±2.0),-54.5% (±14.2%)
Female,Blagoevgrad,2020,44,9,5.0,3.0,2.0,7.0,6.0,4.6,1.9,1.96,1.7,2.8999999999999995,6.3,4.4,1.7,95.7,52.8,4.6 (±1.7),4.4 (±1.7),95.7% (±52.8%)
Female,Blagoevgrad,2020,45,8,4.0,9.0,1.0,1.0,1.0,3.2,3.1,1.96,2.7,0.5,5.9,4.8,2.7,150.0,114.4,3.2 (±2.7),4.8 (±2.7),150.0% (±114.4%)
Female,Blagoevgrad,2020,46,11,4.0,2.0,5.0,6.0,4.0,4.2,1.3,1.96,1.1,3.1,5.300000000000001,6.8,1.1,161.9,54.4,4.2 (±1.1),6.8 (±1.1),161.9% (±54.4%)
Female,Blagoevgrad,2020,47,13,4.0,1.0,0.0,6.0,5.0,3.2,2.3,1.96,2.0,1.2000000000000002,5.2,9.8,2.0,306.2,156.2,3.2 (±2.0),9.8 (±2.0),306.2% (±156.2%)
Female,Blagoevgrad,2020,48,16,7.0,8.0,6.0,6.0,2.0,5.8,2.0,1.96,1.8,4.0,7.6,10.2,1.8,175.9,65.4,5.8 (±1.8),10.2 (±1.8),175.9% (±65.4%)
Female,Blagoevgrad,2020,49,9,4.0,5.0,3.0,9.0,1.0,4.4,2.7,1.96,2.4,2.0000000000000004,6.800000000000001,4.6,2.4,104.5,72.1,4.4 (±2.4),4.6 (±2.4),104.5% (±72.1%)
Female,Blagoevgrad,2020,50,11,4.0,6.0,3.0,4.0,6.0,4.6,1.2,1.96,1.1,3.4999999999999996,5.699999999999999,6.4,1.1,139.1,46.1,4.6 (±1.1),6.4 (±1.1),139.1% (±46.1%)
Female,Blagoevgrad,2020,51,14,1.0,3.0,5.0,3.0,5.0,3.4,1.5,1.96,1.3,2.0999999999999996,4.7,10.6,1.3,311.8,113.9,3.4 (±1.3),10.6 (±1.3),311.8% (±113.9%)
Female,Blagoevgrad,2020,52,7,2.0,3.0,6.0,5.0,6.0,4.4,1.6,1.96,1.4,3.0000000000000004,5.800000000000001,2.6,1.4,59.1,38.4,4.4 (±1.4),2.6 (±1.4),59.1% (±38.4%)
Female,Blagoevgrad,2020,53,10,3.0,3.0,6.0,5.0,6.0,3.0,1.4,1.96,1.2,1.8,4.2,7.0,1.2,233.3,95.2,3.0 (±1.2),7.0 (±1.2),233.3% (±95.2%)
Female,Bulgaria,2020,10,111,154.0,115.0,127.0,116.0,106.0,123.6,16.6,1.96,14.6,109.0,138.2,-12.6,14.6,-10.2,9.5,123.6 (±14.6),-12.6 (±14.6),-10.2% (±9.5%)
Female,Bulgaria,2020,11,117,137.0,128.0,119.0,122.0,115.0,124.2,7.7,1.96,6.7,117.5,130.9,-7.2,6.7,-5.8,4.8,124.2 (±6.7),-7.2 (±6.7),-5.8% (±4.8%)
Female,Bulgaria,2020,12,127,156.0,121.0,115.0,130.0,109.0,126.2,16.4,1.96,14.4,111.8,140.6,0.8,14.4,0.6,10.3,126.2 (±14.4),0.8 (±14.4),0.6% (±10.3%)
Female,Bulgaria,2020,13,124,106.0,98.0,144.0,136.0,116.0,120.0,17.5,1.96,15.3,104.7,135.3,4.0,15.3,3.3,11.7,120.0 (±15.3),4.0 (±15.3),3.3% (±11.7%)
Female,Bulgaria,2020,14,125,134.0,128.0,96.0,135.0,114.0,121.4,14.7,1.96,12.9,108.5,134.3,3.6,12.9,3.0,9.9,121.4 (±12.9),3.6 (±12.9),3.0% (±9.9%)
Female,Bulgaria,2020,15,119,124.0,124.0,132.0,134.0,104.0,123.6,10.6,1.96,9.3,114.3,132.9,-4.6,9.3,-3.7,6.8,123.6 (±9.3),-4.6 (±9.3),-3.7% (±6.8%)
Female,Bulgaria,2020,16,132,140.0,107.0,128.0,115.0,120.0,122.0,11.3,1.96,9.9,112.1,131.9,10.0,9.9,8.2,8.1,122.0 (±9.9),10.0 (±9.9),8.2% (±8.1%)
Female,Bulgaria,2020,17,134,117.0,130.0,103.0,103.0,118.0,114.2,10.2,1.96,8.9,105.3,123.10000000000001,19.8,8.9,17.3,8.4,114.2 (±8.9),19.8 (±8.9),17.3% (±8.4%)
Female,Bulgaria,2020,18,118,112.0,118.0,116.0,116.0,128.0,118.0,5.4,1.96,4.7,113.3,122.7,0.0,4.7,0.0,3.8,118.0 (±4.7),0.0 (±4.7),0.0% (±3.8%)
Female,Bulgaria,2020,19,127,132.0,127.0,129.0,100.0,129.0,123.4,11.8,1.96,10.3,113.10000000000001,133.70000000000002,3.6,10.3,2.9,7.9,123.4 (±10.3),3.6 (±10.3),2.9% (±7.9%)
Female,Bulgaria,2020,20,110,121.0,109.0,123.0,114.0,103.0,114.0,7.4,1.96,6.5,107.5,120.5,-4.0,6.5,-3.5,5.2,114.0 (±6.5),-4.0 (±6.5),-3.5% (±5.2%)
Female,Bulgaria,2020,21,113,138.0,124.0,127.0,111.0,125.0,125.0,8.6,1.96,7.5,117.5,132.5,-12.0,7.5,-9.6,5.1,125.0 (±7.5),-12.0 (±7.5),-9.6% (±5.1%)
Female,Bulgaria,2020,22,96,108.0,119.0,119.0,118.0,104.0,113.6,6.3,1.96,5.5,108.1,119.1,-17.6,5.5,-15.5,3.9,113.6 (±5.5),-17.6 (±5.5),-15.5% (±3.9%)
Female,Bulgaria,2020,23,104,115.0,112.0,123.0,119.0,105.0,114.8,6.1,1.96,5.3,109.5,120.1,-10.8,5.3,-9.4,4.0,114.8 (±5.3),-10.8 (±5.3),-9.4% (±4.0%)
Female,Bulgaria,2020,24,121,110.0,123.0,132.0,101.0,133.0,119.8,12.5,1.96,11.0,108.8,130.8,1.2,11.0,1.0,8.5,119.8 (±11.0),1.2 (±11.0),1.0% (±8.5%)
Female,Bulgaria,2020,25,121,122.0,124.0,115.0,114.0,123.0,119.6,4.2,1.96,3.7,115.89999999999999,123.3,1.4,3.7,1.2,3.1,119.6 (±3.7),1.4 (±3.7),1.2% (±3.1%)
Female,Bulgaria,2020,26,114,108.0,121.0,115.0,110.0,121.0,115.0,5.4,1.96,4.7,110.3,119.7,-1.0,4.7,-0.9,3.9,115.0 (±4.7),-1.0 (±4.7),-0.9% (±3.9%)
Female,Bulgaria,2020,27,137,104.0,112.0,107.0,117.0,96.0,107.2,7.1,1.96,6.2,101.0,113.4,29.8,6.2,27.8,7.0,107.2 (±6.2),29.8 (±6.2),27.8% (±7.0%)
Female,Bulgaria,2020,28,111,126.0,121.0,118.0,108.0,100.0,114.6,9.4,1.96,8.2,106.39999999999999,122.8,-3.6,8.2,-3.1,6.5,114.6 (±8.2),-3.6 (±8.2),-3.1% (±6.5%)
Female,Bulgaria,2020,29,127,126.0,116.0,101.0,105.0,115.0,112.6,8.8,1.96,7.7,104.89999999999999,120.3,14.4,7.7,12.8,7.2,112.6 (±7.7),14.4 (±7.7),12.8% (±7.2%)
Female,Bulgaria,2020,30,111,132.0,131.0,131.0,111.0,115.0,124.0,9.1,1.96,8.0,116.0,132.0,-13.0,8.0,-10.5,5.4,124.0 (±8.0),-13.0 (±8.0),-10.5% (±5.4%)
Female,Bulgaria,2020,31,124,112.0,110.0,129.0,109.0,108.0,113.6,7.8,1.96,6.8,106.8,120.39999999999999,10.4,6.8,9.2,6.2,113.6 (±6.8),10.4 (±6.8),9.2% (±6.2%)
Female,Bulgaria,2020,32,111,113.0,126.0,139.0,114.0,100.0,118.4,13.2,1.96,11.6,106.80000000000001,130.0,-7.4,11.6,-6.3,8.3,118.4 (±11.6),-7.4 (±11.6),-6.3% (±8.3%)
Female,Bulgaria,2020,33,124,120.0,122.0,108.0,98.0,100.0,109.6,9.9,1.96,8.7,100.89999999999999,118.3,14.4,8.7,13.1,8.3,109.6 (±8.7),14.4 (±8.7),13.1% (±8.3%)
Female,Bulgaria,2020,34,101,106.0,123.0,114.0,110.0,99.0,110.4,8.0,1.96,7.0,103.4,117.4,-9.4,7.0,-8.5,5.5,110.4 (±7.0),-9.4 (±7.0),-8.5% (±5.5%)
Female,Bulgaria,2020,35,128,114.0,124.0,102.0,120.0,109.0,113.8,7.8,1.96,6.8,107.0,120.6,14.2,6.8,12.5,6.4,113.8 (±6.8),14.2 (±6.8),12.5% (±6.4%)
Female,Bulgaria,2020,36,138,123.0,104.0,110.0,114.0,89.0,108.0,11.3,1.96,9.9,98.1,117.9,30.0,9.9,27.8,10.8,108.0 (±9.9),30.0 (±9.9),27.8% (±10.8%)
Female,Bulgaria,2020,37,124,91.0,102.0,149.0,116.0,96.0,110.8,20.9,1.96,18.3,92.5,129.1,13.2,18.3,11.9,15.9,110.8 (±18.3),13.2 (±18.3),11.9% (±15.9%)
Female,Bulgaria,2020,38,113,116.0,98.0,93.0,121.0,94.0,104.4,11.7,1.96,10.3,94.10000000000001,114.7,8.6,10.3,8.2,9.7,104.4 (±10.3),8.6 (±10.3),8.2% (±9.7%)
Female,Bulgaria,2020,39,107,108.0,118.0,116.0,110.0,99.0,110.2,6.7,1.96,5.9,104.3,116.10000000000001,-3.2,5.9,-2.9,4.9,110.2 (±5.9),-3.2 (±5.9),-2.9% (±4.9%)
Female,Bulgaria,2020,40,129,103.0,128.0,112.0,112.0,104.0,111.8,9.0,1.96,7.9,103.89999999999999,119.7,17.2,7.9,15.4,7.6,111.8 (±7.9),17.2 (±7.9),15.4% (±7.6%)
Female,Bulgaria,2020,41,122,109.0,116.0,138.0,133.0,103.0,119.8,13.6,1.96,11.9,107.89999999999999,131.7,2.2,11.9,1.8,9.2,119.8 (±11.9),2.2 (±11.9),1.8% (±9.2%)
Female,Bulgaria,2020,42,127,109.0,117.0,119.0,130.0,124.0,119.8,7.0,1.96,6.1,113.7,125.89999999999999,7.2,6.1,6.0,5.1,119.8 (±6.1),7.2 (±6.1),6.0% (±5.1%)
Female,Bulgaria,2020,43,139,138.0,134.0,123.0,121.0,118.0,126.8,7.8,1.96,6.8,120.0,133.6,12.2,6.8,9.6,5.6,126.8 (±6.8),12.2 (±6.8),9.6% (±5.6%)
Female,Bulgaria,2020,44,179,119.0,115.0,112.0,110.0,110.0,113.2,3.4,1.96,3.0,110.2,116.2,65.8,3.0,58.1,4.1,113.2 (±3.0),65.8 (±3.0),58.1% (±4.1%)
Female,Bulgaria,2020,45,203,130.0,119.0,113.0,104.0,101.0,113.4,10.5,1.96,9.2,104.2,122.60000000000001,89.6,9.2,79.0,13.4,113.4 (±9.2),89.6 (±9.2),79.0% (±13.4%)
Female,Bulgaria,2020,46,220,106.0,117.0,128.0,112.0,105.0,113.6,8.4,1.96,7.4,106.19999999999999,121.0,106.4,7.4,93.7,11.9,113.6 (±7.4),106.4 (±7.4),93.7% (±11.9%)
Female,Bulgaria,2020,47,267,134.0,137.0,105.0,132.0,102.0,122.0,15.2,1.96,13.3,108.7,135.3,145.0,13.3,118.9,21.6,122.0 (±13.3),145.0 (±13.3),118.9% (±21.6%)
Female,Bulgaria,2020,48,266,117.0,133.0,114.0,117.0,97.0,115.6,11.4,1.96,10.0,105.6,125.6,150.4,10.0,130.1,18.3,115.6 (±10.0),150.4 (±10.0),130.1% (±18.3%)
Female,Bulgaria,2020,49,263,123.0,139.0,127.0,127.0,121.0,127.4,6.2,1.96,5.4,122.0,132.8,135.6,5.4,106.4,8.4,127.4 (±5.4),135.6 (±5.4),106.4% (±8.4%)
Female,Bulgaria,2020,50,225,123.0,150.0,116.0,164.0,119.0,134.4,19.1,1.96,16.7,117.7,151.1,90.6,16.7,67.4,18.5,134.4 (±16.7),90.6 (±16.7),67.4% (±18.5%)
Female,Bulgaria,2020,51,206,125.0,148.0,112.0,148.0,115.0,129.6,15.6,1.96,13.7,115.89999999999999,143.29999999999998,76.4,13.7,59.0,15.2,129.6 (±13.7),76.4 (±13.7),59.0% (±15.2%)
Female,Bulgaria,2020,52,166,120.0,148.0,130.0,133.0,108.0,127.8,13.4,1.96,11.7,116.1,139.5,38.2,11.7,29.9,10.9,127.8 (±11.7),38.2 (±11.7),29.9% (±10.9%)
Female,Bulgaria,2020,53,174,114.0,148.0,130.0,133.0,108.0,114.0,14.2,1.96,12.4,101.6,126.4,60.0,12.4,52.6,14.9,114.0 (±12.4),60.0 (±12.4),52.6% (±14.9%)
Female,Burgas,2020,10,11,12.0,5.0,6.0,8.0,7.0,7.6,2.4,1.96,2.1,5.5,9.7,3.4,2.1,44.7,31.3,7.6 (±2.1),3.4 (±2.1),44.7% (±31.3%)
Female,Burgas,2020,11,7,8.0,13.0,6.0,6.0,9.0,8.4,2.6,1.96,2.3,6.1000000000000005,10.7,-1.4,2.3,-16.7,17.9,8.4 (±2.3),-1.4 (±2.3),-16.7% (±17.9%)
Female,Burgas,2020,12,8,7.0,3.0,8.0,10.0,13.0,8.2,3.3,1.96,2.9,5.299999999999999,11.1,-0.2,2.9,-2.4,25.5,8.2 (±2.9),-0.2 (±2.9),-2.4% (±25.5%)
Female,Burgas,2020,13,9,6.0,2.0,14.0,11.0,9.0,8.4,4.1,1.96,3.6,4.800000000000001,12.0,0.6,3.6,7.1,32.1,8.4 (±3.6),0.6 (±3.6),7.1% (±32.1%)
Female,Burgas,2020,14,11,7.0,8.0,3.0,5.0,5.0,5.6,1.7,1.96,1.5,4.1,7.1,5.4,1.5,96.4,41.5,5.6 (±1.5),5.4 (±1.5),96.4% (±41.5%)
Female,Burgas,2020,15,4,8.0,7.0,6.0,6.0,8.0,7.0,0.9,1.96,0.8,6.2,7.8,-3.0,0.8,-42.9,5.8,7.0 (±0.8),-3.0 (±0.8),-42.9% (±5.8%)
Female,Burgas,2020,16,10,9.0,7.0,7.0,8.0,10.0,8.2,1.2,1.96,1.1,7.1,9.299999999999999,1.8,1.1,22.0,14.5,8.2 (±1.1),1.8 (±1.1),22.0% (±14.5%)
Female,Burgas,2020,17,5,5.0,12.0,8.0,5.0,7.0,7.4,2.6,1.96,2.3,5.1000000000000005,9.7,-2.4,2.3,-32.4,16.1,7.4 (±2.3),-2.4 (±2.3),-32.4% (±16.1%)
Female,Burgas,2020,18,10,10.0,9.0,5.0,8.0,10.0,8.4,1.9,1.96,1.7,6.7,10.1,1.6,1.7,19.0,20.0,8.4 (±1.7),1.6 (±1.7),19.0% (±20.0%)
Female,Burgas,2020,19,7,8.0,9.0,4.0,3.0,5.0,5.8,2.3,1.96,2.0,3.8,7.8,1.2,2.0,20.7,31.0,5.8 (±2.0),1.2 (±2.0),20.7% (±31.0%)
Female,Burgas,2020,20,6,10.0,9.0,6.0,7.0,3.0,7.0,2.4,1.96,2.1,4.9,9.1,-1.0,2.1,-14.3,19.8,7.0 (±2.1),-1.0 (±2.1),-14.3% (±19.8%)
Female,Burgas,2020,21,8,5.0,7.0,5.0,6.0,9.0,6.4,1.5,1.96,1.3,5.1000000000000005,7.7,1.6,1.3,25.0,21.1,6.4 (±1.3),1.6 (±1.3),25.0% (±21.1%)
Female,Burgas,2020,22,7,6.0,8.0,11.0,7.0,7.0,7.8,1.7,1.96,1.5,6.3,9.3,-0.8,1.5,-10.3,14.4,7.8 (±1.5),-0.8 (±1.5),-10.3% (±14.4%)
Female,Burgas,2020,23,6,7.0,6.0,4.0,9.0,4.0,6.0,1.9,1.96,1.7,4.3,7.7,0.0,1.7,0.0,22.1,6.0 (±1.7),0.0 (±1.7),0.0% (±22.1%)
Female,Burgas,2020,24,7,5.0,5.0,11.0,7.0,6.0,6.8,2.2,1.96,1.9,4.9,8.7,0.2,1.9,2.9,22.4,6.8 (±1.9),0.2 (±1.9),2.9% (±22.4%)
Female,Burgas,2020,25,6,7.0,7.0,6.0,4.0,4.0,5.6,1.4,1.96,1.2,4.3999999999999995,6.8,0.4,1.2,7.1,18.9,5.6 (±1.2),0.4 (±1.2),7.1% (±18.9%)
Female,Burgas,2020,26,3,3.0,6.0,5.0,4.0,6.0,4.8,1.2,1.96,1.1,3.6999999999999997,5.9,-1.8,1.1,-37.5,11.7,4.8 (±1.1),-1.8 (±1.1),-37.5% (±11.7%)
Female,Burgas,2020,27,7,4.0,9.0,7.0,7.0,5.0,6.4,1.7,1.96,1.5,4.9,7.9,0.6,1.5,9.4,20.8,6.4 (±1.5),0.6 (±1.5),9.4% (±20.8%)
Female,Burgas,2020,28,6,8.0,4.0,8.0,9.0,5.0,6.8,1.9,1.96,1.7,5.1,8.5,-0.8,1.7,-11.8,17.6,6.8 (±1.7),-0.8 (±1.7),-11.8% (±17.6%)
Female,Burgas,2020,29,9,10.0,7.0,6.0,9.0,3.0,7.0,2.4,1.96,2.1,4.9,9.1,2.0,2.1,28.6,29.7,7.0 (±2.1),2.0 (±2.1),28.6% (±29.7%)
Female,Burgas,2020,30,6,4.0,9.0,4.0,6.0,6.0,5.8,1.8,1.96,1.6,4.199999999999999,7.4,0.2,1.6,3.4,22.3,5.8 (±1.6),0.2 (±1.6),3.4% (±22.3%)
Female,Burgas,2020,31,7,3.0,4.0,4.0,3.0,11.0,5.0,3.0,1.96,2.6,2.4,7.6,2.0,2.6,40.0,47.9,5.0 (±2.6),2.0 (±2.6),40.0% (±47.9%)
Female,Burgas,2020,32,5,9.0,9.0,10.0,7.0,9.0,8.8,1.0,1.96,0.9,7.9,9.700000000000001,-3.8,0.9,-43.2,5.3,8.8 (±0.9),-3.8 (±0.9),-43.2% (±5.3%)
Female,Burgas,2020,33,9,7.0,4.0,6.0,3.0,9.0,5.8,2.1,1.96,1.8,4.0,7.6,3.2,1.8,55.2,36.8,5.8 (±1.8),3.2 (±1.8),55.2% (±36.8%)
Female,Burgas,2020,34,3,7.0,7.0,4.0,12.0,5.0,7.0,2.8,1.96,2.5,4.5,9.5,-4.0,2.5,-57.1,11.3,7.0 (±2.5),-4.0 (±2.5),-57.1% (±11.3%)
Female,Burgas,2020,35,6,10.0,8.0,6.0,5.0,8.0,7.4,1.7,1.96,1.5,5.9,8.9,-1.4,1.5,-18.9,13.7,7.4 (±1.5),-1.4 (±1.5),-18.9% (±13.7%)
Female,Burgas,2020,36,4,9.0,5.0,3.0,8.0,4.0,5.8,2.3,1.96,2.0,3.8,7.8,-1.8,2.0,-31.0,17.7,5.8 (±2.0),-1.8 (±2.0),-31.0% (±17.7%)
Female,Burgas,2020,37,8,2.0,5.0,7.0,8.0,11.0,6.6,3.0,1.96,2.6,3.9999999999999996,9.2,1.4,2.6,21.2,34.2,6.6 (±2.6),1.4 (±2.6),21.2% (±34.2%)
Female,Burgas,2020,38,5,3.0,2.0,1.0,6.0,6.0,3.6,2.1,1.96,1.8,1.8,5.4,1.4,1.8,38.9,46.3,3.6 (±1.8),1.4 (±1.8),38.9% (±46.3%)
Female,Burgas,2020,39,6,8.0,9.0,4.0,7.0,14.0,8.4,3.3,1.96,2.9,5.5,11.3,-2.4,2.9,-28.6,18.3,8.4 (±2.9),-2.4 (±2.9),-28.6% (±18.3%)
Female,Burgas,2020,40,8,5.0,4.0,7.0,4.0,11.0,6.2,2.6,1.96,2.3,3.9000000000000004,8.5,1.8,2.3,29.0,34.9,6.2 (±2.3),1.8 (±2.3),29.0% (±34.9%)
Female,Burgas,2020,41,4,5.0,5.0,6.0,8.0,8.0,6.4,1.4,1.96,1.2,5.2,7.6000000000000005,-2.4,1.2,-37.5,9.9,6.4 (±1.2),-2.4 (±1.2),-37.5% (±9.9%)
Female,Burgas,2020,42,15,9.0,8.0,4.0,7.0,4.0,6.4,2.1,1.96,1.8,4.6000000000000005,8.200000000000001,8.6,1.8,134.4,51.5,6.4 (±1.8),8.6 (±1.8),134.4% (±51.5%)
Female,Burgas,2020,43,7,6.0,6.0,7.0,5.0,6.0,6.0,0.6,1.96,0.5,5.5,6.5,1.0,0.5,16.7,9.0,6.0 (±0.5),1.0 (±0.5),16.7% (±9.0%)
